Dataset,Metric,우리 모델,CBraMod,CSBrain,REVE,우리 모델_seed42,우리 모델_seed696,우리 모델_seed1001,우리 모델_seed1234,우리 모델_seed3407,우리 모델_mean,우리 모델_sd,우리 모델_n,우리 모델_rank,CBraMod_mean,CBraMod_sd,CBraMod_n,CBraMod_rank,CSBrain_mean,CSBrain_sd,CSBrain_n,CSBrain_rank,REVE_mean,REVE_sd,REVE_n,REVE_rank
TUAB,balanced_accuracy,0.8188 ± 0.0028,<u>0.8289 ± 0.0022</u>,0.8172 ± 0.0043,**0.8315 ± 0.0014**,0.8179926256812455,0.8181861641490308,0.8199043028660569,0.8232947323495385,0.8147711117171429,0.8188297873526029,0.0027813038604351313,5,3,0.8289,0.0022,,2,0.8172,0.0043,,4,0.8315,0.0014,,1
TUAB,auroc,0.8954 ± 0.0011,<u>0.9227 ± 0.0011</u>,0.8957 ± 0.0046,**0.9245 ± 0.0013**,0.8948359711253407,0.8963936692873888,0.8940013500268913,0.8970511726222558,0.8946746401757726,0.8953913606475299,0.0011413915789474586,5,4,0.9227,0.0011,,2,0.8957,0.0046,,3,0.9245,0.0013,,1
TUAB,auprc,0.9015 ± 0.0010,<u>0.9258 ± 0.0008</u>,0.9005 ± 0.0066,**0.9281 ± 0.0009**,0.9008408842465103,0.9023515220196504,0.9000078225577772,0.9026601376098635,0.9014308115425007,0.9014582355952605,0.0009724301347121042,5,3,0.9258,0.0008,,2,0.9005,0.0066,,4,0.9281,0.0009,,1
