Dataset,Metric,우리 모델,CBraMod,CSBrain,REVE,우리 모델_seed42,우리 모델_seed696,우리 모델_seed1001,우리 모델_seed1234,우리 모델_seed3407,우리 모델_mean,우리 모델_sd,우리 모델_n,우리 모델_rank,CBraMod_mean,CBraMod_sd,CBraMod_n,CBraMod_rank,CSBrain_mean,CSBrain_sd,CSBrain_n,CSBrain_rank,REVE_mean,REVE_sd,REVE_n,REVE_rank
TUAB,balanced_accuracy,0.8156 ± 0.0029,<u>0.8289 ± 0.0022</u>,0.8172 ± 0.0043,**0.8315 ± 0.0014**,0.8192308476108942,0.8136606555145118,0.8190146556767759,0.8130688246773132,0.8130656611230247,0.8156081289205039,0.002878658592422905,5,4,0.8289,0.0022,,2,0.8172,0.0043,,3,0.8315,0.0014,,1
TUAB,auroc,0.8933 ± 0.0021,<u>0.9227 ± 0.0011</u>,0.8957 ± 0.0046,**0.9245 ± 0.0013**,0.8964621766009454,0.891594085699583,0.8947814374050275,0.8907598980051228,0.8930347751036922,0.8933264745628742,0.0020795729907147867,5,4,0.9227,0.0011,,2,0.8957,0.0046,,3,0.9245,0.0013,,1
TUAB,auprc,0.9037 ± 0.0012,<u>0.9258 ± 0.0008</u>,0.9005 ± 0.0066,**0.9281 ± 0.0009**,0.9054710044940733,0.9030427755393482,0.9048083629298088,0.9021229727294033,0.903179517839448,0.9037249267064164,0.001228957223183593,5,3,0.9258,0.0008,,2,0.9005,0.0066,,4,0.9281,0.0009,,1
